Airline,TotalVoos
Peninsula Airways Inc.,1474
Empire Airlines Inc.,8833
"Commutair Aka Champlain Enterprises, Inc.",58052
Trans States Airlines,76000
"GoJet Airlines, LLC d/b/a United Express",79063
Hawaiian Airlines Inc.,83891
Compass Airlines,94209
Allegiant Air,105305
Air Wisconsin Airlines Corp,106894
Horizon Air,121897
Capital Cargo International,123054
ExpressJet Airlines Inc.,134277
Frontier Airlines Inc.,135543
Spirit Air Lines,204845
Mesa Airlines Inc.,227831
Endeavor Air Inc.,257246
Alaska Airlines Inc.,264817
Comair Inc.,288989
JetBlue Airways,297411
Envoy Air,327084
Republic Airlines,329596
United Air Lines Inc.,625910
SkyWest Airlines Inc.,836755
American Airlines Inc.,946776
Delta Air Lines Inc.,991986
Southwest Airlines Co.,1363946
